user_id,item_id,rating,timestamp
196,242,0,881250949
196,393,1,881251863
196,381,1,881251728
196,251,0,881251274
196,655,1,881251793
196,67,1,881252017
196,306,1,881251021
196,238,1,881251820
196,663,1,881251911
196,111,1,881251793
196,580,0,881252056
196,25,1,881251955
196,286,1,881250949
196,94,0,881252172
196,692,1,881252017
196,8,1,881251753
196,428,1,881251702
196,1118,1,881252128
196,70,0,881251842
196,66,0,881251911
196,257,0,881251577
196,108,1,881252110
196,202,0,881251728
196,340,0,881251045
196,287,0,881251884
196,116,0,881251753
196,382,1,881251843
196,285,1,881251753
196,1241,0,881251642
196,1007,1,881251601
196,411,1,881252090
196,153,1,881251820
196,13,0,881251955
196,762,0,881251955
196,173,0,881251820
196,1022,1,881251143
196,845,1,881251954
196,269,0,881250949
196,110,0,881252305
186,302,0,891717742
186,566,1,879023663
186,250,0,879023607
186,148,1,891719774
186,263,0,879023571
186,470,1,879023693
186,983,0,879023152
186,281,1,879023390
186,385,1,879023894
186,588,1,879024535
186,406,0,879023272
186,925,1,879023152
186,977,0,879023273
186,322,1,879022927
186,53,0,879023882
186,333,0,891718820
186,591,1,879023073
186,742,0,879023073
186,770,0,879023819
186,550,1,879023985
186,237,0,879023934
186,1277,1,879023677
186,1253,1,891719774
186,71,1,879024535
186,554,0,879023751
186,257,1,891719774
186,44,1,879023529
186,117,1,879023607
186,327,0,891717806
186,288,0,879022858
186,225,1,879024148
186,988,1,891719775
186,31,1,879023529
186,939,1,879023529
186,546,1,891719775
186,100,1,879023115
186,338,0,889818331
186,717,0,879023242
186,118,0,879023242
186,226,1,879023664
186,300,1,879022858
186,299,0,879720962
186,596,1,879024459
186,95,0,879024535
186,243,0,879024099
186,1016,1,879023643
186,79,1,879023460
186,306,1,891717690
186,106,0,879023242
186,829,1,891719775
186,934,0,879023968
186,1399,0,891718530
186,754,0,891717690
186,595,0,879023390
186,121,0,879023074
186,568,1,879024014
186,303,0,891717938
186,332,1,891719775
186,540,1,879024014
186,1046,0,879023751
186,98,1,891719859
186,56,0,879023460
186,880,0,891718700
186,203,1,879023529
